,e10,e30,e100,n10,n30,n100
VAE,2869.677734375,2869.135986328125,2868.844970703125,2868.611572265625,2868.184814453125,2867.940673828125
"IWAE, K=10",2869.838134765625,2869.33251953125,2869.859375,2868.59619140625,2867.99658203125,2868.59521484375
"IWAE, K=50",2870.021484375,2869.4931640625,2869.38232421875,2869.218017578125,2868.185302734375,2867.90771484375
"AMCVAE, K=3, fixed",2870.844970703125,2868.3955078125,2868.076171875,2869.3427734375,2867.73388671875,2867.51806640625
"AMCVAE, K=3, sigmoidal",2870.11865234375,2868.380126953125,2868.044677734375,2868.971923828125,2867.699951171875,2867.45751953125
"AMCVAE, K=3, all_learnable",2870.15625,2868.336181640625,2868.019287109375,2868.77001953125,2867.69775390625,2867.4599609375
"AMCVAE, K=5, fixed",2870.14453125,2868.317626953125,2868.010498046875,2868.974609375,2867.743408203125,2867.484619140625
"AMCVAE, K=5, sigmoidal",2870.7470703125,2868.3193359375,2868.026611328125,2869.53369140625,2867.72216796875,2867.4990234375
"AMCVAE, K=5, all_learnable",2870.380126953125,2868.329345703125,2867.996826171875,2869.16796875,2867.7099609375,2867.482421875
"LMCVAE, K=5, fixed",2871.3662109375,2868.7021484375,2868.2783203125,2869.678955078125,2867.89990234375,2867.6025390625
"LMCVAE, K=5, sigmoidal",2871.72802734375,2868.640625,2868.292724609375,2870.044921875,2867.899658203125,2867.62548828125
"LMCVAE, K=5, all_learnable",2871.987548828125,2868.656494140625,2868.29345703125,2870.19140625,2867.8955078125,2867.623779296875
"LMCVAE, K=10, fixed",2871.440673828125,2868.48876953125,2868.091552734375,2870.24560546875,2867.864990234375,2867.5595703125
"LMCVAE, K=10, sigmoidal",2870.357666015625,2868.445556640625,2868.084716796875,2869.29052734375,2867.8095703125,2867.529296875
"LMCVAE, K=10, all_learnable",2870.25,2868.387451171875,2868.05810546875,2869.42333984375,2867.80810546875,2867.529541015625
