,e10,e30,e100,n10,n30,n100
VAE,2869.57,2870.26,2868.92,2868.49,2868.88,2867.89
"IWAE, K=10",2869.78,2869.39,2869.08,2868.55,2868.03,2867.74
"IWAE, K=50",2869.97,2869.58,2869.45,2869.29,2868.31,2867.93
"AMCVAE, K=3, fixed",2871.51,2868.67,2868.27,2869.84,2867.91,2867.63
"AMCVAE, K=3, sigmoidal",2871.54,2868.64,2868.27,2869.93,2867.92,2867.62
"AMCVAE, K=3, all_learnable",2871.15,2868.54,2868.23,2869.67,2867.83,2867.6
"AMCVAE, K=5, fixed",2871.18,2868.46,2871.18,2870.29,2867.86,2867.56
"AMCVAE, K=5, sigmoidal",2871.81,2868.41,2868.03,2870.73,2867.82,2867.55
"AMCVAE, K=5, all_learnable",2870.93,2868.4,2868.06,2870.01,2867.88,2867.57
"LMCVAE, K=5, fixed",2869.11,2868.06,2867.95,2868.19,2867.51,2867.41
"LMCVAE, K=5, sigmoidal",2868.91,2868.06,2867.93,2868.11,2867.51,2867.4
"LMCVAE, K=5, all_learnable",2869.03,2868.01,2867.92,2868.13,2867.48,2867.4
"LMCVAE, K=10, fixed",2868.97,2868.02,2867.9,2868.18,2867.49,2867.39
"LMCVAE, K=10, sigmoidal",2871.21,2868.33,2868.01,2869.73,2867.74,2867.51
"LMCVAE, K=10, all_learnable",2868.95,2868.0,2867.9,2868.22,2867.5,2867.4
