,e10,e30,e100,n10,n30,n100
VAE,95.6102066040039,91.89570617675781,89.6196517944336,90.37255859375,87.04572296142578,85.2989730834961
"IWAE, K=10",91.71431732177734,88.5373764038086,87.2638168334961,88.82505798339844,86.10386657714844,84.92410278320312
"IWAE, K=50",90.5838851928711,87.7162857055664,86.0749740600586,89.70702362060547,86.73527526855469,85.0421371459961
"AMCVAE, K=3, fixed",97.81997680664062,89.07062530517578,87.77693176269531,91.35640716552734,86.03614807128906,85.08171081542969
"AMCVAE, K=3, sigmoidal",97.37593841552734,89.56551361083984,88.22882843017578,91.47877502441406,86.43363189697266,85.45618438720703
"AMCVAE, K=3, all_learnable",98.57317352294922,89.08989715576172,87.74050903320312,91.92144775390625,86.00785064697266,85.0091781616211
"AMCVAE, K=5, fixed",,,,,,
"AMCVAE, K=5, sigmoidal",96.66011810302734,88.9057846069336,,91.07569122314453,85.93038940429688,
"AMCVAE, K=5, all_learnable",98.10413360595703,88.23660278320312,87.04289245605469,92.07456970214844,85.5738525390625,84.68976593017578
"LMCVAE, K=5, fixed",98.94153594970703,89.24906158447266,87.96953582763672,92.42900085449219,86.30023956298828,85.30342864990234
"LMCVAE, K=5, sigmoidal",98.77100372314453,89.27729034423828,87.84831237792969,92.35531616210938,86.20320129394531,85.21346282958984
"LMCVAE, K=5, all_learnable",97.33464813232422,88.92162322998047,87.74939727783203,90.74553680419922,85.9996566772461,85.17730712890625
"LMCVAE, K=10, fixed",97.97162628173828,88.22801971435547,87.01295471191406,92.03453063964844,85.89448547363281,84.88890838623047
"LMCVAE, K=10, sigmoidal",97.27005767822266,88.33451843261719,87.0985336303711,91.94730377197266,85.98397827148438,84.98757934570312
"LMCVAE, K=10, all_learnable",96.39051818847656,88.0911865234375,86.9702377319336,91.29768371582031,85.8060531616211,84.93351745605469
