,e10,e30,e100,n10,n30,n100
VAE,94.56,91.24,89.96,89.01,86.49,85.14
"IWAE, K=10",91.22,88.48,87.34,88.18,85.94,84.85
"IWAE, K=50",89.96,87.44,85.9,89.1,86.53,84.94
"AMCVAE, K=3, fixed",91.82,88.16,87.62,87.67,85.46,85.02
"AMCVAE, K=3, sigmoidal",92.26,87.71,87.06,87.77,85.05,84.63
"AMCVAE, K=3, all_learnable",92.06,87.52,86.93,87.75,84.99,84.59
"AMCVAE, K=5, fixed",90.47,87.37,86.9,87.35,85.28,84.85
"AMCVAE, K=5, sigmoidal",97.35,87.47,86.44,91.34,85.29,84.47
"AMCVAE, K=5, all_learnable",96.74,87.02,85.9,91.34,84.86,84.05
"LMCVAE, K=5, fixed",91.37,87.54,87.04,87.14,84.85,84.5
"LMCVAE, K=5, sigmoidal",93.4,88.39,87.79,88.61,85.49,85.03
"LMCVAE, K=5, all_learnable",91.66,87.96,87.35,87.55,85.21,84.75
"LMCVAE, K=10, fixed",91.38,87.21,86.72,87.27,84.67,84.35
"LMCVAE, K=10, sigmoidal",93.81,88.95,88.13,89.58,86.02,85.44
"LMCVAE, K=10, all_learnable",93.47,87.96,87.39,89.22,85.33,84.9
