,e10,e30,e100,n10,n30,n100
VAE,11421.18,11418.01,11414.5,11415.26,11412.04,11409.69
"IWAE, K=10",11420.03,11415.26,11412.52,11417.67,11413.13,11410.43
"IWAE, K=50",11419.6,11414.23,11411.74,11419.67,11413.91,11411.32
"AMCVAE, K=3, fixed",11423.77,11414.92,11413.72,11418.84,11412.06,11410.91
"AMCVAE, K=3, sigmoidal",11423.64,11413.09,11411.77,11418.48,11410.06,11409.03
"AMCVAE, K=3, all_learnable",11421.67,11413.87,11412.63,11417.46,11410.94,11409.8
"AMCVAE, K=5, fixed",11421.45,11413.45,11412.27,11418.74,11411.43,11410.2
"AMCVAE, K=5, sigmoidal",11420.57,11412.45,11411.26,11417.76,11410.37,11409.25
"AMCVAE, K=5, all_learnable",11422.16,11412.28,11410.89,11419.55,11410.31,11408.99
"LMCVAE, K=5, fixed",11419.65,11413.63,11412.83,11414.79,11410.58,11409.89
"LMCVAE, K=5, sigmoidal",11425.15,11413.86,11413.08,11417.69,11410.83,11410.19
"LMCVAE, K=5, all_learnable",11420.06,11414.19,11413.39,11415.42,11411.24,11410.5
"LMCVAE, K=10, fixed",11418.6,11413.4,11412.65,11414.63,11410.54,11409.93
"LMCVAE, K=10, sigmoidal",11420.42,11412.09,11410.81,11415.97,11409.26,11408.16
"LMCVAE, K=10, all_learnable",11422.09,11412.67,11411.55,11417.51,11410.02,11409.0
