,e10,e30,e100,n10,n30,n100
VAE,11424.2861328125,11417.4951171875,11414.810546875,11417.34765625,11412.4814453125,11410.19140625
"IWAE, K=10",11421.59375,11416.166015625,11412.2744140625,11419.0732421875,11413.7099609375,11410.2802734375
"IWAE, K=50",11418.83203125,11413.00390625,11409.8056640625,11418.82421875,11412.6455078125,11409.6494140625
"AMCVAE, K=3, fixed",11421.4091796875,11412.0869140625,11410.9990234375,11415.666015625,11408.9775390625,11408.0205078125
"AMCVAE, K=3, sigmoidal",11420.130859375,11412.1162109375,11411.0927734375,11415.197265625,11408.9658203125,11408.16015625
"AMCVAE, K=3, all_learnable",11420.21484375,11412.935546875,11411.9541015625,11415.66015625,11409.9150390625,11409.0576171875
"AMCVAE, K=5, fixed",11421.513671875,11412.9580078125,11412.0390625,11417.1220703125,11410.1123046875,11409.2607421875
"AMCVAE, K=5, sigmoidal",11419.0859375,11411.5458984375,11410.5,11414.8056640625,11408.7255859375,11407.869140625
"AMCVAE, K=5, all_learnable",11420.5947265625,11411.65625,11410.5791015625,11416.3349609375,11408.927734375,11408.0224609375
"LMCVAE, K=5, fixed",11421.8056640625,11414.5341796875,11413.2119140625,11417.076171875,11411.65234375,11410.34765625
"LMCVAE, K=5, sigmoidal",11423.4921875,11414.4990234375,11413.0869140625,11418.7685546875,11411.318359375,11410.201171875
"LMCVAE, K=5, all_learnable",11422.1533203125,11414.6142578125,11413.4287109375,11417.5654296875,11411.7412109375,11410.6298828125
"LMCVAE, K=10, fixed",11421.2099609375,11413.3603515625,11412.041015625,11417.8798828125,11410.9814453125,11409.7724609375
"LMCVAE, K=10, sigmoidal",11419.8525390625,11412.154296875,11410.9345703125,11416.814453125,11409.9560546875,11408.7421875
"LMCVAE, K=10, all_learnable",11422.4150390625,11412.8583984375,11411.251953125,11419.755859375,11410.5537109375,11409.2724609375
