Wall time,Step,Value
1614426160.7753677,9,11416.814453125
1614428578.9598975,19,11411.5361328125
1614430998.9634526,29,11409.9560546875
1614433416.6079159,39,11409.5517578125
1614435833.3052087,49,11409.3115234375
1614438251.8289118,59,11409.234375
1614440667.81464,69,11409.0703125
1614443085.080405,79,11408.984375
1614445501.6794362,89,11408.9091796875
1614447917.8724167,99,11408.7421875
