Wall time,Step,Value
1617640029.5981486,9,11419.4326171875
1617640194.2916436,19,11415.2255859375
1617640359.199896,29,11413.509765625
1617640524.1314006,39,11412.603515625
1617640688.8651886,49,11411.9404296875
1617640853.4350255,59,11411.5830078125
1617641018.2373471,69,11411.193359375
1617641183.210031,79,11410.97265625
1617641348.0953293,89,11410.6962890625
1617641512.631436,99,11410.462890625
