Wall time,Step,Value
1614017158.6156375,9,11419.0732421875
1614017470.0766673,19,11415.7294921875
1614017780.7705133,29,11413.7099609375
1614018092.408883,39,11412.822265625
1614018404.1550055,49,11412.0205078125
1614018716.2718809,59,11411.4921875
1614019027.603422,69,11411.35546875
1614019338.7343712,79,11410.736328125
1614019650.6975555,89,11410.626953125
1614019961.7999477,99,11410.2802734375
