Wall time,Step,Value
1614388257.5932562,9,11417.5654296875
1614389534.0998504,19,11413.3564453125
1614390810.5691004,29,11411.7412109375
1614392086.272154,39,11411.4072265625
1614393362.2699866,49,11411.1884765625
1614394638.5133214,59,11411.0908203125
1614395913.662772,69,11410.9619140625
1614397190.7111783,79,11410.8876953125
1614398466.3060718,89,11410.787109375
1614399741.125877,99,11410.6298828125
