Wall time,Step,Value
1617641829.6445236,9,11417.9990234375
1617642142.4679255,19,11414.1298828125
1617642455.5810997,29,11412.69140625
1617642768.3923512,39,11411.6357421875
1617643081.4583623,49,11411.1552734375
1617643394.298153,59,11410.4248046875
1617643707.4510112,69,11410.318359375
1617644020.5353134,79,11409.91015625
1617644333.7141953,89,11409.7509765625
1617644646.5979826,99,11409.705078125
